Name of State,County Name,Margin Amount,Total number of voters
alabama,Tuscaloosa, Trump +24 ,"77,076"
alabama,Mobile, Trump +12 ,"181,783"
alabama,Dallas, Biden +38 ,"17,861"
alabama,Chilton, Trump +67 ,"19,260"
alabama,Jefferson, Biden +13 ,"324,675"
alabama,Madison, Trump +8 ,"193,955"
alabama,Shelby, Trump +41 ,"114,439"
alabama,Baldwin, Trump +54 ,"108,945"
alabama,Montgomery, Biden +31 ,"98,476"
alabama,Lee, Trump +20 ,"70,980"
alabama,Morgan, Trump +49 ,"53,482"
alabama,Calhoun, Trump +39 ,"50,743"
alabama,Limestone, Trump +43 ,"48,754"
alabama,Etowah, Trump +50 ,"47,460"
alabama,Houston, Trump +43 ,"45,750"
alabama,St. Clair, Trump +64 ,"44,346"
alabama,Lauderdale, Trump +45 ,"44,149"
alabama,Cullman, Trump +77 ,"41,751"
alabama,Elmore, Trump +48 ,"40,891"
alabama,Marshall, Trump +69 ,"39,492"
alabama,Talladega, Trump +26 ,"35,591"
alabama,Walker, Trump +68 ,"31,106"
alabama,DeKalb, Trump +70 ,"29,322"
alabama,Autauga, Trump +45 ,"27,639"
alabama,Blount, Trump +80 ,"27,459"
alabama,Colbert, Trump +42 ,"24,668"
alabama,Jackson, Trump +68 ,"23,602"
alabama,Coffee, Trump +53 ,"22,180"
alabama,Russell, Biden +6 ,"21,108"
alabama,Tallapoosa, Trump +44 ,"20,888"
alabama,Dale, Trump +46 ,"19,699"
alabama,Covington, Trump +68 ,"17,418"
alabama,Lawrence, Trump +55 ,"15,957"
alabama,Escambia, Trump +38 ,"15,861"
alabama,Chambers, Trump +16 ,"15,269"
alabama,Pike, Trump +17 ,"13,796"
alabama,Marion, Trump +78 ,"13,786"
alabama,Clarke, Trump +12 ,"13,102"
alabama,Franklin, Trump +66 ,"12,564"
alabama,Geneva, Trump +74 ,"12,538"
alabama,Cherokee, Trump +73 ,"12,275"
alabama,Winston, Trump +82 ,"11,273"
alabama,Marengo, Biden +1.3 ,"10,882"
alabama,Randolph, Trump +59 ,"10,824"
alabama,Monroe, Trump +16 ,"10,620"
alabama,Barbour, Trump +8 ,"10,457"
alabama,Pickens, Trump +16 ,"9,659"
alabama,Bibb, Trump +58 ,"9,573"
alabama,Butler, Trump +16 ,"9,466"
alabama,Henry, Trump +43 ,"9,266"
alabama,Washington, Trump +49 ,"8,861"
alabama,Fayette, Trump +67 ,"8,756"
alabama,Macon, Biden +64 ,"8,697"
alabama,Hale, Biden +19 ,"7,922"
alabama,Choctaw, Trump +16 ,"7,461"
alabama,Cleburne, Trump +80 ,"7,210"
alabama,Lamar, Trump +72 ,"7,187"
alabama,Clay, Trump +63 ,"6,913"
alabama,Lowndes, Biden +46 ,"6,830"
alabama,Crenshaw, Trump +48 ,"6,617"
alabama,Conecuh, Trump +8 ,"6,419"
alabama,Sumter, Biden +48 ,"6,282"
alabama,Wilcox, Biden +38 ,"5,884"
alabama,Coosa, Trump +33 ,"5,472"
alabama,Perry, Biden +48 ,"5,215"
alabama,Greene, Biden +67 ,"5,179"
alabama,Bullock, Biden +50 ,"4,603"
alaska,ED 40, Biden +24 ,82
alaska,ED 37, Biden +1.7 ,173
alaska,ED 38, Biden +0.4 ,249
alaska,ED 32, Trump +30 ,711
alaska,ED 35, Trump +32 ,"1,216"
alaska,ED 30, Trump +67 ,"1,637"
alaska,ED 39, Biden +23 ,"1,013"
alaska,ED 29, Trump +65 ,"1,865"
alaska,ED 9, Trump +53 ,"1,913"
alaska,ED 12, Trump +56 ,"2,309"
alaska,ED 31, Trump +53 ,"2,856"
alaska,ED 8, Trump +61 ,"2,866"
alaska,ED 17, Trump +0.2 ,"2,497"
alaska,ED 14, Trump +52 ,"4,050"
alaska,ED 21, Trump +3 ,"3,364"
alaska,ED 18, Biden +10 ,"2,966"
alaska,ED 16, Trump +17 ,"3,057"
alaska,ED 20, Biden +15 ,"3,050"
alaska,ED 2, Trump +27 ,"2,344"
alaska,ED 4, Biden +13 ,"4,134"
alaska,ED 15, Trump +15 ,"2,189"
alaska,ED 33, Biden +27 ,"4,595"
alaska,ED 6, Trump +46 ,"3,859"
alaska,ED 5, Trump +10 ,"3,834"
alaska,ED 28, Trump +21 ,"5,610"
alaska,ED 13, Trump +48 ,"3,229"
alaska,ED 36, Trump +33 ,"4,263"
alaska,ED 11, Trump +47 ,"5,196"
alaska,ED 10, Trump +61 ,"4,886"
alaska,ED 27, Trump +21 ,"4,805"
alaska,ED 34, Trump +4 ,"5,360"
alaska,ED 19, Biden +4 ,"2,683"
alaska,ED 24, Trump +30 ,"5,442"
alaska,ED 26, Trump +30 ,"5,188"
alaska,ED 22, Trump +26 ,"5,001"
alaska,ED 25, Trump +22 ,"4,866"
alaska,ED 23, Trump +17 ,"4,202"
alaska,ED 3, Trump +61 ,"4,697"
alaska,ED 7, Trump +61 ,"5,377"
alaska,ED 1, Trump +14 ,"4,251"
arizona,Apache, Biden +35 ,"20,930"
arizona,Greenlee, Trump +30 ,"3,053"
arizona,Yuma, Trump +8 ,"59,895"
arizona,Mohave, Trump +50 ,"94,046"
arizona,Coconino, Biden +28 ,"61,560"
arizona,Cochise, Trump +17 ,"46,073"
arizona,Santa Cruz, Biden +37 ,"18,137"
arizona,Maricopa, Biden +5 ,"1,713,063"
arizona,Navajo, Trump +7 ,"46,539"
arizona,Gila, Trump +33 ,"25,499"
arizona,Graham, Trump +44 ,"14,842"
arizona,Pinal, Trump +13 ,"141,530"
arizona,La Paz, Trump +37 ,"6,677"
arizona,Pima, Biden +21 ,"465,065"
arizona,Yavapai, Trump +28 ,"133,574"
california,Lake, Biden +26 ,"11,038"
california,Nevada, Biden +20 ,"30,088"
california,Alameda, Biden +65 ,"367,409"
california,Riverside, Biden +12 ,"432,413"
california,Kern, Trump +1.4 ,"143,486"
california,San Joaquin, Biden +23 ,"142,283"
california,Yolo, Biden +49 ,"55,107"
california,Mendocino, Biden +48 ,"25,171"
california,Humboldt, Biden +38 ,"41,636"
california,Marin, Biden +70 ,"99,960"
california,Napa, Biden +47 ,"44,383"
california,San Bernardino, Biden +15 ,"485,518"
california,Imperial, Biden +41 ,"36,084"
california,Glenn, Trump +26 ,"7,095"
california,Contra Costa, Biden +50 ,"358,232"
california,Santa Clara, Biden +53 ,"552,269"
california,Tehama, Trump +28 ,"18,688"
california,Inyo, Biden +10 ,"6,354"
california,Stanislaus, Biden +8 ,"138,155"
california,San Mateo, Biden +61 ,"255,174"
california,Sutter, Trump +7 ,"27,200"
california,Lassen, Trump +45 ,"8,617"
california,Yuba, Trump +15 ,"18,820"
california,Sonoma, Biden +57 ,"197,603"
california,Merced, Biden +14 ,"60,623"
california,San Francisco, Biden +74 ,"349,508"
california,Placer, Biden +4 ,"159,307"
california,Santa Barbara, Biden +36 ,"154,830"
california,Monterey, Biden +45 ,"117,329"
california,Tulare, Trump +6 ,"101,596"
california,Shasta, Trump +29 ,"72,186"
california,Trinity, Trump +3 ,"5,095"
california,Butte, Biden +4 ,"87,841"
california,Madera, Trump +10 ,"40,496"
california,San Diego, Biden +26 ,"1,234,864"
california,Ventura, Biden +24 ,"331,239"
california,El Dorado, Trump +1.1 ,"88,102"
california,Siskiyou, Trump +12 ,"19,415"
california,Del Norte, Trump +10 ,"9,137"
california,Modoc, Trump +42 ,"3,805"
california,Los Angeles, Biden +45 ,"3,342,930"
california,Santa Cruz, Biden +62 ,"124,905"
california,Calaveras, Trump +20 ,"22,506"
california,Fresno, Biden +9 ,"276,587"
california,San Benito, Biden +26 ,"22,755"
california,Sierra, Trump +21 ,"1,904"
california,Solano, Biden +32 ,"174,078"
california,Kings, Trump +13 ,"35,694"
california,Tuolumne, Trump +16 ,"26,861"
california,Mariposa, Trump +16 ,"9,387"
california,Orange, Biden +10 ,"1,283,331"
california,Plumas, Trump +16 ,"10,950"
california,Amador, Trump +21 ,"19,821"
california,Sacramento, Biden +32 ,"338,637"
california,San Luis Obispo, Biden +22 ,"116,069"
california,Mono, Biden +23 ,"6,357"
california,Colusa, Trump +10 ,"4,235"
california,Alpine, Biden +32 ,736
connecticut,North Haven, Biden +46 ,"4,465"
connecticut,Westport, Biden +71 ,"6,204"
connecticut,Cheshire, Biden +52 ,"7,074"
connecticut,Bloomfield, Biden +66 ,"6,704"
connecticut,Naugatuck, Biden +16 ,"7,835"
connecticut,New Haven, Biden +63 ,"27,146"
connecticut,Mansfield, Biden +52 ,"7,485"
connecticut,Newington, Trump +3 ,"11,146"
connecticut,Bridgeport, Biden +54 ,"28,445"
connecticut,New Fairfield, Trump +26 ,"5,662"
connecticut,Hartford, Biden +74 ,"30,657"
connecticut,Eastford, Trump +23 ,870
connecticut,Stamford, Biden +33 ,"49,119"
connecticut,West Hartford, Biden +51 ,"32,623"
connecticut,Windham, Biden +30 ,"8,320"
connecticut,Somers, Trump +13 ,"5,727"
connecticut,Winchester, Trump +10 ,"5,050"
connecticut,Durham, Trump +4 ,"4,344"
connecticut,Bethlehem, Trump +19 ,"2,367"
connecticut,Sprague, Trump +15 ,"1,557"
connecticut,Hartland, Trump +28 ,"1,292"
connecticut,Waterbury, Biden +20 ,"35,434"
connecticut,Stratford, Biden +23 ,"26,546"
connecticut,Wilton, Biden +32 ,"10,919"
connecticut,New London, Biden +53 ,"9,123"
connecticut,Lyme, Biden +33 ,"1,772"
connecticut,East Hartford, Biden +45 ,"20,185"
connecticut,Clinton, Biden +13 ,"7,647"
connecticut,Stafford, Trump +10 ,"6,422"
connecticut,Willington, Biden +7 ,"3,204"
connecticut,Sterling, Trump +31 ,"1,908"
connecticut,Scotland, Trump +14 ,970
connecticut,Danbury, Biden +18 ,"30,957"
connecticut,Hamden, Biden +47 ,"29,843"
connecticut,New Britain, Biden +35 ,"23,922"
connecticut,West Haven, Biden +27 ,"22,605"
connecticut,Trumbull, Biden +9 ,"21,282"
connecticut,Watertown, Trump +27 ,"12,726"
connecticut,Woodbridge, Biden +36 ,"5,739"
connecticut,Kent, Biden +37 ,"1,837"
connecticut,Sharon, Biden +33 ,"1,555"
connecticut,Bridgewater, Biden +10 ,"1,233"
connecticut,Canaan, Biden +35 ,655
connecticut,Bristol, Biden +5 ,"28,624"
connecticut,Wallingford, Biden +6 ,"24,513"
connecticut,Tolland, Biden +12 ,"9,257"
connecticut,Redding, Biden +30 ,"5,975"
connecticut,Thompson, Trump +19 ,"5,129"
connecticut,Columbia, Biden +8 ,"3,568"
connecticut,Middlefield, Biden +3 ,"2,853"
connecticut,Ashford, Biden +7 ,"2,544"
connecticut,Washington, Biden +30 ,"2,268"
connecticut,Norwalk, Biden +37 ,"41,955"
connecticut,Fairfield, Biden +30 ,"34,767"
connecticut,Middletown, Biden +33 ,"23,318"
connecticut,Shelton, Trump +9 ,"23,008"
connecticut,Windsor, Biden +52 ,"17,512"
connecticut,Darien, Biden +23 ,"12,358"
connecticut,Monroe, Trump +1.3 ,"12,002"
connecticut,Avon, Biden +23 ,"11,643"
connecticut,Wolcott, Trump +32 ,"10,002"
connecticut,East Hampton, Biden +4 ,"7,988"
connecticut,Old Saybrook, Biden +17 ,"7,343"
connecticut,Plainfield, Trump +17 ,"7,086"
connecticut,Woodbury, Trump +2 ,"6,499"
connecticut,Prospect, Trump +30 ,"6,111"
connecticut,Old Lyme, Biden +21 ,"5,408"
connecticut,Litchfield, Biden +2 ,"5,342"
connecticut,New Hartford, Trump +6 ,"4,540"
connecticut,Killingworth, Biden +8 ,"4,387"
connecticut,Thomaston, Trump +28 ,"4,363"
