County + State,Total number of voters,Result,% bachelor's degree 2014-18,Population Change 2010-2019,Percent in Poverty,Estimate Median Household Income,Known Number of Cases per 100k
"McKenzie,ND","5,412",84,26.1,2.34311,9.2,"76,224","5,358.10"
"Loving,TX",66,92.5,0,2.01190,3.3,"78,637",591.7
"Williams,ND","14,285",84,24.8,1.66404,6.5,"79,354","7,339.90"
"Hays,TX","108,822",45,37.4,1.45493,13.2,"68,180","2,968.40"
"Wasatch,UT","16,456",63,40.6,1.44185,5.3,"85,380","5,162.70"
"Trousdale,TN","3,991",74,16.8,1.43307,18.6,"49,280","16,705.10"
"Comal,TX","87,942",72,35.3,1.42910,7.1,"76,523","1,956.40"
"Kendall,TX","26,419",77,40.9,1.41210,7.5,"90,937",999.3
"Hudspeth,TX","1,157",68,6.9,1.40726,17.8,"42,671","3,254.20"
"Sumter,FL","92,600",68,31.1,1.40457,9.3,"55,324","2,439.20"
"Dallas,IA","55,803",51,49.4,1.40004,5.2,"87,267","5,984.80"
"Osceola,FL","172,781",43,20.5,1.39251,13.4,"50,473","4,442.60"
"Williamson,TX","287,696",49,41.1,1.38534,6.4,"87,817","1,893.80"
"St. Johns,FL","176,942",64,43.7,1.38391,6.6,"81,925","2,941.80"
"Forsyth,GA","124,694",68,51.7,1.38212,5,"105,921","2,300.90"
"Fort Bend,TX","357,833",45,46.1,1.37515,7.9,"92,310","2,337.40"
"Mountrail,ND","4,142",69,20.6,1.36806,10.4,"67,162","9,103.80"
"Lincoln,SD","32,455",62,39.4,1.35290,4.4,"84,889","7,811.50"
"Long,GA","5,617",64,15.5,1.34205,16.8,"46,428","1,528.70"
"Walton,FL","43,679",76,28.4,1.34145,11.4,"60,973","4,547.00"
"Denton,TX","416,610",54,44.5,1.33062,7.3,"88,384","1,978.50"
"Rockwall,TX","57,792",68,40.3,1.32940,5.1,"102,858","2,370.50"
"Montgomery,TX","271,175",72,34.7,1.32269,9.3,"77,598","2,359.40"
"Brunswick,NC","89,328",63,28.6,1.32156,10.5,"60,163","1,866.00"
"Collin,TX","486,917",53,51.7,1.31375,6.4,"96,936","2,158.70"
"Loudoun,VA","221,231",38,60.8,1.31083,3.6,"140,382","2,187.50"
"Kaufman,TX","56,435",67,20.7,1.31079,11.5,"67,434","3,117.10"
"Horry,SC","146,380",72,23.6,1.31008,14.3,"49,082","3,946.30"
"Bryan,GA","18,316",72,32.6,1.30451,8.6,"79,658","3,490.00"
"Williamson,TN","139,640",63,59,1.29471,3.8,"115,930","4,217.50"
"Stark,ND","15,019",82,22.9,1.29270,8.2,"71,888","10,270.30"
"Midland,TX","58,752",79,27.4,1.29099,10.1,"80,189","3,718.80"
"Washington,UT","87,914",76,27.7,1.28302,9.7,"57,069","4,373.30"
"St. Bernard,LA","17,649",64,12.3,1.28297,20.1,"43,983","3,606.80"
"Weld,CO","164,791",59,26.7,1.27649,10.5,"75,629","3,392.70"
"Gallatin,MT","65,999",45,49,1.27640,9,"67,569","5,446.80"
"Canadian,OK","61,857",72,26.8,1.27453,7.3,"70,942","3,933.80"
"Lancaster,SC","49,583",62,26.9,1.27336,13.3,"58,035","3,241.40"
"Morgan,UT","6,254",81,39.5,1.27326,4,"98,875","3,381.70"
